"Rob Waziak's Rank","Player","ECR","Diff."
"28","Cooper Kupp LAR - WR","41","+13"
"29","Kyren Williams LAR - RB","42","+13"
"50","Zay Flowers BAL - WR","68","+18"
"58","Kyler Murray ARI - QB","70","+12"
"61","Rashee Rice KC - WR","91","+30"
"62","Chris Godwin TB - WR","75","+13"
"74","D'Andre Swift CHI - RB","113","+39"
"80","Kyle Pitts ATL - TE","96","+16"
"84","Jaxon Smith-Njigba SEA - WR","108","+24"
"89","Caleb Williams CHI - QB","107","+18"
"91","Brian Robinson Jr. WAS - RB","116","+25"
"97","Xavier Worthy KC - WR","139","+42"
"103","Christian Watson GB - WR","120","+17"
"110","Chase Brown CIN - RB","129","+19"
"122","Jameson Williams DET - WR","148","+26"
"129","Romeo Doubs GB - WR","141","+12"
"140","Luke Musgrave GB - TE","157","+17"
"146","Jerry Jeudy CLE - WR","175","+29"
"150","Jahan Dotson WAS - WR","177","+27"
"152","J.K. Dobbins LAC - RB","174","+22"
"156","Baltimore Ravens BAL - DST","182","+26"
"157","DeMario Douglas NE - WR","179","+22"
"162","San Francisco 49ers SF - DST","184","+22"
"164","Cade Otton TB - TE","180","+16"
"166","Bryce Young CAR - QB","213","+47"
"169","Adonai Mitchell IND - WR","222","+53"
"170","Ja'Lynn Polk NE - WR","183","+13"
"177","Rashod Bateman BAL - WR","194","+17"
"178","Kansas City Chiefs KC - DST","193","+15"
"181","Xavier Legette CAR - WR","203","+22"
"182","Marvin Mims Jr. DEN - WR","209","+27"
"184","Jaylen Wright MIA - RB","230","+46"
"187","Sam Darnold MIN - QB","307","+120"
"196","New Orleans Saints NO - DST","211","+15"
"198","Jason Sanders MIA - K","214","+16"
"202","Elijah Mitchell SF - RB","215","+13"
"203","Dameon Pierce HOU - RB","218","+15"
"204","Isaiah Likely BAL - TE","260","+56"
"205","Braelon Allen NYJ - RB","236","+31"
"207","Ricky Pearsall SF - WR","229","+22"
"210","Tyler Bass BUF - K","233","+23"
"212","Younghoe Koo ATL - K","239","+27"
"213","Elijah Moore CLE - WR","231","+18"
"215","Javon Baker NE - WR","304","+89"
"218","Evan McPherson CIN - K","249","+31"
"219","Roman Wilson PIT - WR","243","+24"
"224","Troy Franklin DEN - WR","266","+42"
"226","Audric Estime DEN - RB","283","+57"
"227","Mike Gesicki CIN - TE","245","+18"
"228","AJ Dillon GB - RB","259","+31"
"229","Justice Hill BAL - RB","247","+18"
"234","Justin Fields PIT - QB","284","+50"
"236","Zay Jones ARI - WR","271","+35"
"238","Michael Mayer LV - TE","258","+20"
"239","Jalen McMillan TB - WR","264","+25"
"241","Tyrone Tracy Jr. NYG - RB","262","+21"
"246","Drake Maye NE - QB","320","+74"
"247","Tank Bigsby JAC - RB","265","+18"
"248","DJ Chark Jr. LAC - WR","298","+50"
"251","Andrei Iosivas CIN - WR","314","+63"
"252","Cairo Santos CHI - K","332","+80"
"257","Treylon Burks TEN - WR","345","+88"
"258","Jonathan Mingo CAR - WR","286","+28"
"260","Gerald Everett CHI - TE","319","+59"
"261","Ja'Tavion Sanders CAR - TE","280","+19"
"268","Will Shipley PHI - RB","300","+32"
"272","Cedric Tillman CLE - WR","285","+13"
"273","Jordan Mason SF - RB","326","+53"
"274","K.J. Osborn NE - WR","295","+21"
"283","Greg Dulcich DEN - TE","341","+58"
"286","Aidan O'Connell LV - QB","323","+37"
"290","Michael Carter ARI - RB","325","+35"
"292","Kadarius Toney KC - WR","361","+69"
"296","Cordarrelle Patterson PIT - RB","342","+46"
"302","Jeff Wilson Jr. MIA - RB","336","+34"
"304","Brenden Rice LAC - WR","378","+74"
"306","Pierre Strong Jr. CLE - RB","321","+15"
"319","Ronnie Rivers LAR - RB","364","+45"
"322","Michael Penix Jr. ATL - QB","385","+63"
"324","Jerick McKinnon FA - RB","382","+58"
"328","Rasheen Ali BAL - RB","365","+37"
"329","Marquez Valdes-Scantling BUF - WR","379","+50"
"330","Allen Lazard NYJ - WR","350","+20"
"343","Dalvin Cook FA - RB","392","+49"
"349","Matt Breida SF - RB","393","+44"
"351","Skyy Moore KC - WR","368","+17"
"359","Johnny Wilson PHI - WR","390","+31"
"365","Jarrett Stidham DEN - QB","387","+22"
""
""
